"model","term","estimate","std.error","statistic","p.value"
"m16i","CPUE:Icy_Strait_SST_May",-0.02653514,0.076,-0.351,0.73
"m17i","(Intercept)",6.22057465,2.471,2.517,0.021
"m17i","CPUE",0.59750706,0.817,0.732,0.473
"m17i","Icy_Strait_SST_AMJJ",-0.45691338,0.277,-1.651,0.115
"m17i","CPUE:Icy_Strait_SST_AMJJ",-0.012487,0.09,-0.138,0.892
"m18i","(Intercept)",5.356744,2.736,1.958,0.065
"m18i","CPUE",1.0065245,0.965,1.043,0.31
"m18i","NSEAK_SST_MJJ",-0.31985177,0.275,-1.162,0.26
"m18i","CPUE:NSEAK_SST_MJJ",-0.05468092,0.097,-0.567,0.578
"m19i","(Intercept)",4.49822666,1.664,2.703,0.014
"m19i","CPUE",0.93364586,0.602,1.551,0.137
"m19i","NSEAK_SST_May",-0.31621647,0.218,-1.452,0.163
"m19i","CPUE:NSEAK_SST_May",-0.05805432,0.078,-0.747,0.464
"m20i","(Intercept)",5.85004598,2.514,2.327,0.031
"m20i","CPUE",0.80685813,0.872,0.925,0.366
"m20i","NSEAK_SST_AMJJ",-0.42292031,0.286,-1.479,0.156
"m20i","CPUE:NSEAK_SST_AMJJ",-0.03800155,0.098,-0.387,0.703
"m21i","(Intercept)",5.83491025,2.817,2.071,0.052
"m21i","CPUE",0.67963695,0.935,0.727,0.476
"m21i","SST_Jordan_MJJ",-0.3604203,0.278,-1.296,0.211
"m21i","CPUE:SST_Jordan_MJJ",-0.01971649,0.091,-0.216,0.832
"m22i","(Intercept)",4.46378796,1.599,2.791,0.012
"m22i","CPUE",0.86078221,0.57,1.511,0.147
"m22i","SST_Jordan_May",-0.32948117,0.219,-1.504,0.149
"m22i","CPUE:SST_Jordan_May",-0.04598665,0.076,-0.603,0.554
"m23i","(Intercept)",6.13418932,2.519,2.435,0.025
"m23i","CPUE",0.58685665,0.832,0.705,0.489
"m23i","SST_Jordan_AMJJ",-0.45068049,0.284,-1.586,0.129
"m23i","CPUE:SST_Jordan_AMJJ",-0.01109082,0.093,-0.12,0.906
"m24i","(Intercept)",4.71779814,2.797,1.687,0.108
"m24i","CPUE",1.141086,0.999,1.142,0.267
"m24i","SEAK_SST_MJJ",-0.24139479,0.268,-0.902,0.378
"m24i","CPUE:SEAK_SST_MJJ",-0.06565433,0.095,-0.691,0.498
"m25i","(Intercept)",4.16846237,1.897,2.198,0.041
"m25i","CPUE",1.05822244,0.671,1.577,0.131
"m25i","SEAK_SST_May",-0.25315802,0.23,-1.099,0.285
"m25i","CPUE:SEAK_SST_May",-0.06876474,0.08,-0.856,0.403
"m26i","(Intercept)",5.2125548,2.638,1.976,0.063
"m26i","CPUE",0.96625594,0.922,1.048,0.308
"m26i","SEAK_SST_AMJJ",-0.32838738,0.282,-1.162,0.259
"m26i","CPUE:SEAK_SST_AMJJ",-0.05348973,0.098,-0.546,0.591
