"Model","Term","Estimate","Standard Error","Statistic","p value"
"m5","Chatham_SST_AMJ",-0.384,0.158,-2.425,0.026
"m5","adj_raw_pink_log",0.41,0.163,2.521,0.021
"m5","as.factor(vessel)Medeia:adj_raw_pink_log",-0.559,0.322,-1.738,0.099
"m5","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.105,0.158,-0.662,0.516
"m6","(Intercept)",4.201,1.624,2.587,0.019
"m6","as.factor(odd_even_factor)odd",0.343,0.219,1.563,0.136
"m6","as.factor(vessel)Medeia",2.624,1.579,1.662,0.114
"m6","as.factor(vessel)NW Explorer",0.13,0.999,0.13,0.898
"m6","Chatham_SST_AMJJ",-0.362,0.173,-2.093,0.051
"m6","adj_raw_pink_log",0.423,0.169,2.496,0.023
"m6","as.factor(vessel)Medeia:adj_raw_pink_log",-0.582,0.331,-1.755,0.096
"m6","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.121,0.164,-0.735,0.472
"m7","(Intercept)",3.219,1.212,2.656,0.016
"m7","as.factor(odd_even_factor)odd",0.412,0.216,1.908,0.072
"m7","as.factor(vessel)Medeia",2.609,1.557,1.676,0.111
"m7","as.factor(vessel)NW Explorer",-0.071,0.977,-0.073,0.943
"m7","Icy_Strait_SST_May",-0.286,0.128,-2.241,0.038
"m7","adj_raw_pink_log",0.392,0.165,2.371,0.029
"m7","as.factor(vessel)Medeia:adj_raw_pink_log",-0.591,0.326,-1.812,0.087
"m7","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.076,0.161,-0.472,0.642
"m8","(Intercept)",3.671,1.657,2.216,0.04
"m8","as.factor(odd_even_factor)odd",0.375,0.227,1.655,0.115
"m8","as.factor(vessel)Medeia",2.483,1.646,1.508,0.149
"m8","as.factor(vessel)NW Explorer",0.037,1.032,0.036,0.972
"m8","Icy_Strait_SST_MJJ",-0.252,0.15,-1.679,0.11
"m8","adj_raw_pink_log",0.405,0.175,2.315,0.033
"m8","as.factor(vessel)Medeia:adj_raw_pink_log",-0.565,0.346,-1.63,0.121
"m8","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.109,0.17,-0.638,0.531
"m9","(Intercept)",3.841,1.389,2.764,0.013
"m9","as.factor(odd_even_factor)odd",0.407,0.214,1.9,0.074
"m9","as.factor(vessel)Medeia",2.377,1.557,1.527,0.144
"m9","as.factor(vessel)NW Explorer",0.013,0.973,0.014,0.989
"m9","Icy_Strait_SST_AMJ",-0.366,0.159,-2.301,0.034
"m9","adj_raw_pink_log",0.401,0.165,2.439,0.025
"m9","as.factor(vessel)Medeia:adj_raw_pink_log",-0.532,0.328,-1.624,0.122
"m9","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.091,0.16,-0.57,0.575
"m10","(Intercept)",3.875,1.544,2.511,0.022
"m10","as.factor(odd_even_factor)odd",0.374,0.22,1.699,0.106
"m10","as.factor(vessel)Medeia",2.469,1.598,1.545,0.14
"m10","as.factor(vessel)NW Explorer",0.119,1.007,0.118,0.907
"m10","Icy_Strait_SST_AMJJ",-0.323,0.161,-2.005,0.06
"m10","adj_raw_pink_log",0.421,0.171,2.466,0.024
"m10","as.factor(vessel)Medeia:adj_raw_pink_log",-0.551,0.337,-1.639,0.119
"m10","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.121,0.166,-0.731,0.474
"m11","(Intercept)",3.314,1.221,2.714,0.014
"m11","as.factor(odd_even_factor)odd",0.399,0.214,1.862,0.079
"m11","as.factor(vessel)Medeia",2.582,1.548,1.668,0.113
"m11","as.factor(vessel)NW Explorer",0.118,0.977,0.121,0.905
"m11","NSEAK_SST_May",-0.289,0.126,-2.304,0.033
"m11","adj_raw_pink_log",0.393,0.164,2.392,0.028
"m11","as.factor(vessel)Medeia:adj_raw_pink_log",-0.568,0.325,-1.748,0.097
"m11","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.102,0.16,-0.638,0.532
"m12","(Intercept)",3.95,1.716,2.302,0.033
"m12","as.factor(odd_even_factor)odd",0.353,0.225,1.566,0.135
"m12","as.factor(vessel)Medeia",2.681,1.622,1.653,0.116
"m12","as.factor(vessel)NW Explorer",0.19,1.035,0.183,0.857
"m12","NSEAK_SST_MJJ",-0.293,0.165,-1.784,0.091
"m12","adj_raw_pink_log",0.417,0.174,2.394,0.028
"m12","as.factor(vessel)Medeia:adj_raw_pink_log",-0.58,0.342,-1.699,0.107
"m12","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.127,0.17,-0.748,0.464
"m13","(Intercept)",3.952,1.383,2.858,0.01
"m13","as.factor(odd_even_factor)odd",0.374,0.212,1.766,0.094
"m13","as.factor(vessel)Medeia",2.5,1.534,1.629,0.121
"m13","as.factor(vessel)NW Explorer",0.232,0.973,0.238,0.815
"m13","NSEAK_SST_AMJ",-0.384,0.16,-2.407,0.027
"m13","adj_raw_pink_log",0.412,0.163,2.524,0.021
"m13","as.factor(vessel)Medeia:adj_raw_pink_log",-0.538,0.323,-1.664,0.113
"m13","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.121,0.159,-0.759,0.458
"m14","(Intercept)",4.169,1.6,2.605,0.018
"m14","as.factor(odd_even_factor)odd",0.355,0.218,1.625,0.122
"m14","as.factor(vessel)Medeia",2.625,1.576,1.666,0.113
"m14","as.factor(vessel)NW Explorer",0.258,1.007,0.256,0.801
"m14","NSEAK_SST_AMJJ",-0.365,0.173,-2.113,0.049
"m14","adj_raw_pink_log",0.427,0.169,2.521,0.021
"m14","as.factor(vessel)Medeia:adj_raw_pink_log",-0.562,0.332,-1.693,0.108
"m14","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.137,0.165,-0.83,0.417
"m15","(Intercept)",3.281,1.243,2.639,0.017
"m15","as.factor(odd_even_factor)odd",0.378,0.216,1.751,0.097
"m15","as.factor(vessel)Medeia",2.796,1.56,1.792,0.09
"m15","as.factor(vessel)NW Explorer",0.173,0.99,0.175,0.863
"m15","SEAK_SST_May",-0.274,0.124,-2.204,0.041
"m15","adj_raw_pink_log",0.409,0.167,2.454,0.025
"m15","as.factor(vessel)Medeia:adj_raw_pink_log",-0.61,0.326,-1.869,0.078
"m15","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.113,0.162,-0.698,0.494
"m16","(Intercept)",3.952,1.679,2.354,0.03
"m16","as.factor(odd_even_factor)odd",0.336,0.225,1.492,0.153
"m16","as.factor(vessel)Medeia",2.86,1.613,1.773,0.093
"m16","as.factor(vessel)NW Explorer",0.212,1.032,0.205,0.84
"m16","SEAK_SST_MJJ",-0.284,0.154,-1.838,0.083
"m16","adj_raw_pink_log",0.423,0.174,2.433,0.026
"m16","as.factor(vessel)Medeia:adj_raw_pink_log",-0.611,0.338,-1.808,0.087
"m16","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.128,0.169,-0.756,0.459
"m17","(Intercept)",3.905,1.396,2.796,0.012
"m17","as.factor(odd_even_factor)odd",0.359,0.214,1.679,0.11
"m17","as.factor(vessel)Medeia",2.676,1.541,1.736,0.1
"m17","as.factor(vessel)NW Explorer",0.29,0.985,0.294,0.772
"m17","SEAK_SST_AMJ",-0.361,0.155,-2.336,0.031
"m17","adj_raw_pink_log",0.427,0.165,2.583,0.019
"m17","as.factor(vessel)Medeia:adj_raw_pink_log",-0.571,0.324,-1.763,0.095
"m17","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.133,0.161,-0.825,0.42
"m18","(Intercept)",4.178,1.593,2.623,0.017
"m18","as.factor(odd_even_factor)odd",0.343,0.218,1.569,0.134
"m18","as.factor(vessel)Medeia",2.793,1.571,1.779,0.092
"m18","as.factor(vessel)NW Explorer",0.291,1.008,0.289,0.776
"m18","SEAK_SST_AMJJ",-0.35,0.164,-2.132,0.047
"m18","adj_raw_pink_log",0.433,0.169,2.555,0.02
"m18","as.factor(vessel)Medeia:adj_raw_pink_log",-0.591,0.33,-1.792,0.09
"m18","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.14,0.165,-0.846,0.409
