Model,Term,Estimate,Standard Error,Statistic,p value
m29a,CPUE:as.factor(odd_even_factor)even,0.40690644,0.057,7.095,0
m29a,CPUE:as.factor(odd_even_factor)odd,0.3174033,0.097,3.276,0.003
m30a,(Intercept),5.84258896,1.275,4.584,0
m30a,NSEAK_SST_MJJ,-0.32908238,0.127,-2.582,0.017
m30a,CPUE:as.factor(odd_even_factor)even,0.37795047,0.064,5.906,0
m30a,CPUE:as.factor(odd_even_factor)odd,0.29770631,0.109,2.733,0.012
m31a,(Intercept),6.05565284,0.952,6.362,0
m31a,NSEAK_SST_AMJ,-0.4651548,0.126,-3.706,0.001
m31a,CPUE:as.factor(odd_even_factor)even,0.40014675,0.058,6.916,0
m31a,CPUE:as.factor(odd_even_factor)odd,0.31461998,0.098,3.209,0.004
m32a,(Intercept),6.12871182,1.177,5.207,0
m32a,NSEAK_SST_AMJJ,-0.40964618,0.135,-3.045,0.006
m32a,CPUE:as.factor(odd_even_factor)even,0.38766985,0.061,6.308,0
m32a,CPUE:as.factor(odd_even_factor)odd,0.3054342,0.105,2.923,0.008
m33a,(Intercept),5.41278138,0.819,6.607,0
m33a,SEAK_SST_May,-0.35552076,0.101,-3.532,0.002
m33a,CPUE:as.factor(odd_even_factor)even,0.40384154,0.059,6.843,0
m33a,CPUE:as.factor(odd_even_factor)odd,0.31440288,0.1,3.151,0.004
m34a,(Intercept),5.70723523,1.271,4.49,0
m34a,SEAK_SST_MJJ,-0.29767127,0.12,-2.482,0.021
m34a,CPUE:as.factor(odd_even_factor)even,0.36973644,0.065,5.723,0
m34a,CPUE:as.factor(odd_even_factor)odd,0.28359594,0.11,2.58,0.017
m35a,(Intercept),5.98159917,1.001,5.973,0
m35a,SEAK_SST_AMJ,-0.42139937,0.122,-3.443,0.002
m35a,CPUE:as.factor(odd_even_factor)even,0.39585002,0.059,6.676,0
m35a,CPUE:as.factor(odd_even_factor)odd,0.30817628,0.101,3.064,0.005
m36a,(Intercept),5.98540006,1.195,5.007,0
m36a,SEAK_SST_AMJJ,-0.36734739,0.128,-2.877,0.009
m36a,CPUE:as.factor(odd_even_factor)even,0.37930465,0.062,6.085,0
m36a,CPUE:as.factor(odd_even_factor)odd,0.29032443,0.106,2.737,0.012
m1,(Intercept),2.48825127,1.206,2.064,0.055
m1,as.factor(vessel)Medeia,3.13681107,1.711,1.833,0.084
m1,as.factor(vessel)NW Explorer,-0.42454887,1.076,-0.395,0.698
m1,adj_raw_pink_log,0.25327128,0.193,1.31,0.208
m1,as.factor(odd_even_factor)odd,-1.47611661,0.829,-1.781,0.093
m1,as.factor(vessel)Medeia:adj_raw_pink_log,-0.75587067,0.358,-2.109,0.05
m1,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.03042703,0.178,-0.171,0.866
m1,adj_raw_pink_log:as.factor(odd_even_factor)odd,0.1862669,0.141,1.317,0.205
m2,(Intercept),5.7758509,1.718,3.361,0.004
m2,as.factor(vessel)Medeia,2.69275094,1.518,1.774,0.095
m2,as.factor(vessel)NW Explorer,-0.69569606,0.954,-0.729,0.476
m2,adj_raw_pink_log,0.31119703,0.172,1.81,0.089
m2,as.factor(odd_even_factor)odd,-1.31991922,0.733,-1.801,0.091
m2,ISTI20_MJJ,-0.40773836,0.168,-2.433,0.027
m2,as.factor(vessel)Medeia:adj_raw_pink_log,-0.63107554,0.32,-1.974,0.066
m2,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.00012512,0.157,-0.001,0.999
m2,adj_raw_pink_log:as.factor(odd_even_factor)odd,0.18440445,0.125,1.481,0.158
m3,(Intercept),4.2953023,1.375,3.123,0.007
m3,as.factor(vessel)Medeia,2.95261426,1.554,1.901,0.076
m3,as.factor(vessel)NW Explorer,-0.22158248,0.98,-0.226,0.824
m3,adj_raw_pink_log,0.29776793,0.177,1.687,0.111
m3,as.factor(odd_even_factor)odd,-1.36779816,0.753,-1.816,0.088
m3,Chatham_SST_May,-0.28146211,0.13,-2.164,0.046
m3,as.factor(vessel)Medeia:adj_raw_pink_log,-0.67959533,0.327,-2.08,0.054
m3,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.04776213,0.161,-0.296,0.771
m3,adj_raw_pink_log:as.factor(odd_even_factor)odd,0.16890592,0.128,1.315,0.207
m4,(Intercept),5.29532712,1.844,2.872,0.011
m4,as.factor(vessel)Medeia,3.0666549,1.591,1.928,0.072
m4,as.factor(vessel)NW Explorer,-0.21638673,1.006,-0.215,0.832
m4,adj_raw_pink_log,0.29081336,0.181,1.608,0.127
m4,as.factor(odd_even_factor)odd,-1.55328781,0.772,-2.013,0.061
m4,Chatham_SST_MJJ,-0.31186019,0.163,-1.917,0.073
m4,as.factor(vessel)Medeia:adj_raw_pink_log,-0.70143924,0.334,-2.098,0.052
m4,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.05935426,0.166,-0.357,0.725
m4,adj_raw_pink_log:as.factor(odd_even_factor)odd,0.20590838,0.132,1.562,0.138
m5,(Intercept),4.9311,1.508,3.27,0.005
m5,as.factor(vessel)Medeia,2.76590446,1.535,1.802,0.09
m5,as.factor(vessel)NW Explorer,-0.16277881,0.966,-0.168,0.868
m5,adj_raw_pink_log,0.30525807,0.174,1.754,0.099
m5,as.factor(odd_even_factor)odd,-1.41812134,0.74,-1.916,0.073
m5,Chatham_SST_AMJ,-0.3661439,0.158,-2.312,0.034
m5,as.factor(vessel)Medeia:adj_raw_pink_log,-0.63515663,0.324,-1.96,0.068
m5,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.05828831,0.159,-0.366,0.719
m5,adj_raw_pink_log:as.factor(odd_even_factor)odd,0.18300135,0.126,1.45,0.166
m6,(Intercept),5.22964627,1.703,3.071,0.007
m6,as.factor(vessel)Medeia,2.92837691,1.563,1.873,0.079
m6,as.factor(vessel)NW Explorer,-0.1439896,0.99,-0.145,0.886
m6,adj_raw_pink_log,0.3098089,0.178,1.737,0.102
m6,as.factor(odd_even_factor)odd,-1.45550539,0.756,-1.925,0.072
m6,Chatham_SST_AMJJ,-0.35697401,0.169,-2.108,0.051
m6,as.factor(vessel)Medeia:adj_raw_pink_log,-0.66669189,0.33,-2.023,0.06
m6,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.07062592,0.163,-0.432,0.671
m6,adj_raw_pink_log:as.factor(odd_even_factor)odd,0.19072343,0.129,1.479,0.159
m7,(Intercept),4.11318894,1.358,3.029,0.008
m7,as.factor(vessel)Medeia,2.8975592,1.573,1.843,0.084
m7,as.factor(vessel)NW Explorer,-0.31206677,0.987,-0.316,0.756
m7,adj_raw_pink_log,0.29250907,0.178,1.641,0.12
m7,as.factor(odd_even_factor)odd,-1.35460075,0.762,-1.778,0.094
m7,Icy_Strait_SST_May,-0.26409606,0.128,-2.058,0.056
m7,as.factor(vessel)Medeia:adj_raw_pink_log,-0.67140811,0.331,-2.028,0.06
m7,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.03323543,0.163,-0.204,0.841
m7,adj_raw_pink_log:as.factor(odd_even_factor)odd,0.16113544,0.13,1.238,0.234
m8,(Intercept),5.1976151,1.763,2.949,0.009
m8,as.factor(vessel)Medeia,2.80916837,1.589,1.768,0.096
m8,as.factor(vessel)NW Explorer,-0.25013443,0.997,-0.251,0.805
m8,adj_raw_pink_log,0.28012953,0.179,1.564,0.137
m8,as.factor(odd_even_factor)odd,-1.64743421,0.77,-2.139,0.048
m8,Icy_Strait_SST_MJJ,-0.28602719,0.144,-1.983,0.065
m8,as.factor(vessel)Medeia:adj_raw_pink_log,-0.6518449,0.335,-1.945,0.07
m8,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.05477305,0.165,-0.332,0.744
m8,adj_raw_pink_log:as.factor(odd_even_factor)odd,0.21762959,0.132,1.654,0.118
m9,(Intercept),4.79388636,1.512,3.171,0.006
m9,as.factor(vessel)Medeia,2.66812611,1.56,1.71,0.107
m9,as.factor(vessel)NW Explorer,-0.24599865,0.975,-0.252,0.804
m9,adj_raw_pink_log,0.2955947,0.176,1.682,0.112
m9,as.factor(odd_even_factor)odd,-1.44705124,0.749,-1.932,0.071
m9,Icy_Strait_SST_AMJ,-0.34740349,0.158,-2.199,0.043
m9,as.factor(vessel)Medeia:adj_raw_pink_log,-0.61466722,0.33,-1.862,0.081
m9,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.04481882,0.161,-0.279,0.784
m9,adj_raw_pink_log:as.factor(odd_even_factor)odd,0.17890311,0.128,1.4,0.181
m10,(Intercept),5.0558962,1.645,3.073,0.007
m10,as.factor(vessel)Medeia,2.77761009,1.571,1.768,0.096
m10,as.factor(vessel)NW Explorer,-0.15986749,0.99,-0.162,0.874
m10,adj_raw_pink_log,0.30456315,0.178,1.709,0.107
m10,as.factor(odd_even_factor)odd,-1.54581259,0.757,-2.041,0.058
m10,Icy_Strait_SST_AMJJ,-0.32942108,0.157,-2.099,0.052
m10,as.factor(vessel)Medeia:adj_raw_pink_log,-0.63716247,0.332,-1.919,0.073
m10,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.06989356,0.163,-0.428,0.675
m10,adj_raw_pink_log:as.factor(odd_even_factor)odd,0.20111453,0.129,1.556,0.139
m11,(Intercept),4.28589498,1.357,3.159,0.006
m11,as.factor(vessel)Medeia,2.87888473,1.547,1.86,0.081
m11,as.factor(vessel)NW Explorer,-0.14464994,0.978,-0.148,0.884
m11,adj_raw_pink_log,0.28796914,0.175,1.645,0.12
m11,as.factor(odd_even_factor)odd,-1.41283794,0.748,-1.889,0.077
m11,NSEAK_SST_May,-0.2751556,0.124,-2.214,0.042
m11,as.factor(vessel)Medeia:adj_raw_pink_log,-0.65199575,0.327,-1.996,0.063
m11,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.05522414,0.161,-0.343,0.736
m11,adj_raw_pink_log:as.factor(odd_even_factor)odd,0.17343285,0.128,1.358,0.193
m12,(Intercept),5.42129818,1.797,3.017,0.008
m12,as.factor(vessel)Medeia,3.03704963,1.567,1.938,0.071
m12,as.factor(vessel)NW Explorer,-0.080368,0.999,-0.08,0.937
m12,adj_raw_pink_log,0.29464701,0.178,1.654,0.118
m12,as.factor(odd_even_factor)odd,-1.60067165,0.761,-2.102,0.052
m12,NSEAK_SST_MJJ,-0.32694404,0.158,-2.068,0.055
m12,as.factor(vessel)Medeia:adj_raw_pink_log,-0.67103758,0.331,-2.029,0.059
m12,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.07546801,0.164,-0.459,0.652
m12,adj_raw_pink_log:as.factor(odd_even_factor)odd,0.21359237,0.13,1.641,0.12
m13,(Intercept),4.88017838,1.495,3.264,0.005
m13,as.factor(vessel)Medeia,2.76809055,1.536,1.802,0.09
m13,as.factor(vessel)NW Explorer,-0.03696644,0.975,-0.038,0.97
m13,adj_raw_pink_log,0.30599844,0.174,1.757,0.098
m13,as.factor(odd_even_factor)odd,-1.43307812,0.74,-1.935,0.071
m13,NSEAK_SST_AMJ,-0.36699116,0.159,-2.306,0.035
m13,as.factor(vessel)Medeia:adj_raw_pink_log,-0.61704715,0.326,-1.895,0.076
m13,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.07319456,0.16,-0.458,0.653
m13,adj_raw_pink_log:as.factor(odd_even_factor)odd,0.18272581,0.126,1.447,0.167
m14,(Intercept),5.24719822,1.684,3.116,0.007
m14,as.factor(vessel)Medeia,2.93296943,1.555,1.886,0.078
m14,as.factor(vessel)NW Explorer,-0.01832345,0.994,-0.018,0.986
m14,adj_raw_pink_log,0.3128169,0.178,1.761,0.097
m14,as.factor(odd_even_factor)odd,-1.48392197,0.752,-1.973,0.066
m14,NSEAK_SST_AMJJ,-0.36383564,0.169,-2.155,0.047
m14,as.factor(vessel)Medeia:adj_raw_pink_log,-0.64779093,0.329,-1.969,0.067
m14,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.08652782,0.164,-0.529,0.604
m14,adj_raw_pink_log:as.factor(odd_even_factor)odd,0.19357019,0.128,1.508,0.151
m15,(Intercept),4.36773658,1.373,3.182,0.006
m15,as.factor(vessel)Medeia,3.09763924,1.54,2.012,0.061
m15,as.factor(vessel)NW Explorer,-0.10156325,0.979,-0.104,0.919
m15,adj_raw_pink_log,0.29576973,0.175,1.69,0.11
m15,as.factor(odd_even_factor)odd,-1.49797275,0.746,-2.008,0.062
m15,SEAK_SST_May,-0.27142884,0.121,-2.235,0.04
m15,as.factor(vessel)Medeia:adj_raw_pink_log,-0.69473833,0.324,-2.147,0.048
m15,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.06306658,0.161,-0.392,0.7
m15,adj_raw_pink_log:as.factor(odd_even_factor)odd,0.19205022,0.127,1.509,0.151
m16,(Intercept),5.46033368,1.752,3.117,0.007
m16,as.factor(vessel)Medeia,3.24859039,1.551,2.094,0.052
m16,as.factor(vessel)NW Explorer,-0.05581701,0.989,-0.056,0.956
m16,adj_raw_pink_log,0.29972565,0.176,1.698,0.109
m16,as.factor(odd_even_factor)odd,-1.59903943,0.753,-2.123,0.05
m16,SEAK_SST_MJJ,-0.32045896,0.148,-2.17,0.045
m16,as.factor(vessel)Medeia:adj_raw_pink_log,-0.70734636,0.325,-2.173,0.045
m16,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.07583516,0.163,-0.467,0.647
m16,adj_raw_pink_log:as.factor(odd_even_factor)odd,0.2164291,0.129,1.679,0.113
m17,(Intercept),4.95657519,1.502,3.3,0.005
m17,as.factor(vessel)Medeia,2.94901459,1.523,1.936,0.071
m17,as.factor(vessel)NW Explorer,0.01457711,0.974,0.015,0.988
m17,adj_raw_pink_log,0.31459296,0.174,1.809,0.089
m17,as.factor(odd_even_factor)odd,-1.50450535,0.737,-2.041,0.058
m17,SEAK_SST_AMJ,-0.35702426,0.152,-2.346,0.032
m17,as.factor(vessel)Medeia:adj_raw_pink_log,-0.6505188,0.322,-2.022,0.06
m17,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.0829395,0.16,-0.519,0.611
m17,adj_raw_pink_log:as.factor(odd_even_factor)odd,0.19804265,0.126,1.574,0.135
m18,(Intercept),5.34021966,1.67,3.198,0.006
m18,as.factor(vessel)Medeia,3.11229353,1.538,2.024,0.06
m18,as.factor(vessel)NW Explorer,0.01494358,0.986,0.015,0.988
m18,adj_raw_pink_log,0.31639958,0.176,1.797,0.091
m18,as.factor(odd_even_factor)odd,-1.51608891,0.745,-2.034,0.059
m18,SEAK_SST_AMJJ,-0.35725518,0.159,-2.245,0.039
m18,as.factor(vessel)Medeia:adj_raw_pink_log,-0.67784366,0.324,-2.092,0.053
m18,as.factor(vessel)NW Explorer:adj_raw_pink_log,-0.08851297,0.162,-0.546,0.592
m18,adj_raw_pink_log:as.factor(odd_even_factor)odd,0.20140439,0.127,1.582,0.133
m19,(Intercept),2.15666911,0.655,3.293,0.004
m19,as.factor(vessel)Cobb:adj_raw_pink_log,0.30514603,0.106,2.891,0.009
m19,as.factor(vessel)Medeia:adj_raw_pink_log,0.26347504,0.144,1.828,0.082
m19,as.factor(vessel)NW Explorer:adj_raw_pink_log,0.22101766,0.084,2.643,0.016
m19,adj_raw_pink_log:as.factor(odd_even_factor)odd,-0.09262501,0.041,-2.275,0.034
m20,(Intercept),5.62645622,1.56,3.608,0.002
m20,ISTI20_MJJ,-0.45255363,0.188,-2.402,0.027
m20,as.factor(vessel)Cobb:adj_raw_pink_log,0.40025682,0.103,3.895,0.001
m20,as.factor(vessel)Medeia:adj_raw_pink_log,0.39709401,0.141,2.818,0.011
m20,as.factor(vessel)NW Explorer:adj_raw_pink_log,0.30100849,0.082,3.662,0.002
m20,adj_raw_pink_log:as.factor(odd_even_factor)odd,-0.06087553,0.039,-1.565,0.134
m21,(Intercept),4.39666767,1.16,3.791,0.001
m21,Chatham_SST_May,-0.32589924,0.145,-2.253,0.036
m21,as.factor(vessel)Cobb:adj_raw_pink_log,0.33196694,0.097,3.425,0.003
m21,as.factor(vessel)Medeia:adj_raw_pink_log,0.32333934,0.134,2.413,0.026
m21,as.factor(vessel)NW Explorer:adj_raw_pink_log,0.26341464,0.079,3.355,0.003
m21,adj_raw_pink_log:as.factor(odd_even_factor)odd,-0.08943683,0.037,-2.408,0.026
m22,(Intercept),5.09463856,1.8,2.83,0.011
m22,Chatham_SST_MJJ,-0.32077131,0.184,-1.74,0.098
m22,as.factor(vessel)Cobb:adj_raw_pink_log,0.33358202,0.102,3.274,0.004
m22,as.factor(vessel)Medeia:adj_raw_pink_log,0.32719256,0.142,2.302,0.033
m22,as.factor(vessel)NW Explorer:adj_raw_pink_log,0.2514144,0.082,3.081,0.006
m22,adj_raw_pink_log:as.factor(odd_even_factor)odd,-0.08446589,0.039,-2.161,0.044
m23,(Intercept),5.10905602,1.332,3.836,0.001
m23,Chatham_SST_AMJ,-0.42776224,0.173,-2.467,0.023
m23,as.factor(vessel)Cobb:adj_raw_pink_log,0.3477659,0.096,3.63,0.002
m23,as.factor(vessel)Medeia:adj_raw_pink_log,0.34327511,0.133,2.587,0.018
m23,as.factor(vessel)NW Explorer:adj_raw_pink_log,0.27538201,0.078,3.537,0.002
m23,adj_raw_pink_log:as.factor(odd_even_factor)odd,-0.08008876,0.037,-2.182,0.042
m24,(Intercept),5.38852316,1.616,3.335,0.003
m24,Chatham_SST_AMJJ,-0.40434733,0.188,-2.156,0.044
m24,as.factor(vessel)Cobb:adj_raw_pink_log,0.34656463,0.099,3.502,0.002
m24,as.factor(vessel)Medeia:adj_raw_pink_log,0.34495241,0.138,2.503,0.022
m24,as.factor(vessel)NW Explorer:adj_raw_pink_log,0.26421325,0.079,3.324,0.004
m24,adj_raw_pink_log:as.factor(odd_even_factor)odd,-0.0807539,0.038,-2.134,0.046
m25,(Intercept),4.15972615,1.095,3.801,0.001
m25,Icy_Strait_SST_May,-0.31147528,0.142,-2.189,0.041
m25,as.factor(vessel)Cobb:adj_raw_pink_log,0.33713596,0.098,3.445,0.003
m25,as.factor(vessel)Medeia:adj_raw_pink_log,0.32777323,0.135,2.421,0.026
m25,as.factor(vessel)NW Explorer:adj_raw_pink_log,0.26918089,0.08,3.374,0.003
m25,adj_raw_pink_log:as.factor(odd_even_factor)odd,-0.09535056,0.037,-2.553,0.019
m26,(Intercept),4.87980838,1.599,3.051,0.007
m26,Icy_Strait_SST_MJJ,-0.29695199,0.161,-1.846,0.08
m26,as.factor(vessel)Cobb:adj_raw_pink_log,0.34431772,0.102,3.377,0.003
m26,as.factor(vessel)Medeia:adj_raw_pink_log,0.33490393,0.142,2.366,0.029
m26,as.factor(vessel)NW Explorer:adj_raw_pink_log,0.25852174,0.082,3.169,0.005
