"Year","fitted_values","year_minus","type"
1999,121.46,1,"estimate"
2000,26.74,1,"estimate"
2001,67.99,1,"estimate"
2002,38.53,1,"estimate"
2003,58.61,1,"estimate"
2004,36.47,1,"estimate"
2005,53.89,1,"estimate"
2006,13.18,1,"estimate"
2007,38.96,1,"estimate"
2008,17.51,1,"estimate"
2009,54.9,1,"estimate"
2010,24.51,1,"estimate"
2011,59.1,1,"estimate"
2012,24.27,1,"estimate"
2013,72.27,1,"estimate"
2014,29.91,1,"estimate"
2015,57.82,1,"estimate"
2016,22.59,1,"estimate"
2017,41.39,1,"estimate"
2018,14.43,1,"estimate"
2019,17.62,1,"estimate"
2020,9.98,1,"estimate"
2021,29.14,1,"estimate"
1998,27.82,0,"estimate"
1999,119.07,0,"estimate"
2000,27.13,0,"estimate"
2001,67.73,0,"estimate"
2002,38.67,0,"estimate"
2003,58.85,0,"estimate"
2004,36.54,0,"estimate"
2005,53.62,0,"estimate"
2006,13.33,0,"estimate"
2007,39.2,0,"estimate"
2008,17.83,0,"estimate"
2009,55.34,0,"estimate"
2010,24.71,0,"estimate"
2011,58.69,0,"estimate"
2012,24.64,0,"estimate"
2013,72.12,0,"estimate"
2014,30.21,0,"estimate"
2015,57.57,0,"estimate"
2016,22.77,0,"estimate"
2017,41.03,0,"estimate"
2018,14.79,0,"estimate"
2019,17.94,0,"estimate"
2020,10.17,0,"estimate"
2021,29.42,0,"estimate"
2022,15.9,0,"estimate"
