"Year","fitted_values","year_minus","type"
2016,14.96,4,"estimate"
2017,38.33,4,"estimate"
2018,9.06,4,"estimate"
1998,31.97,3,"estimate"
1999,123.82,3,"estimate"
2000,28.12,3,"estimate"
2001,60.85,3,"estimate"
2002,52.31,3,"estimate"
2003,56.46,3,"estimate"
2004,38.45,3,"estimate"
2005,49.16,3,"estimate"
2006,16.08,3,"estimate"
2007,39.5,3,"estimate"
2008,20.97,3,"estimate"
2009,40.69,3,"estimate"
2010,30.12,3,"estimate"
2011,57.74,3,"estimate"
2012,21.05,3,"estimate"
2013,62.49,3,"estimate"
2014,38.18,3,"estimate"
2015,41.72,3,"estimate"
2016,15.61,3,"estimate"
2017,38.51,3,"estimate"
2018,9.71,3,"estimate"
2019,15.79,3,"estimate"
1998,31.66,2,"estimate"
1999,126.67,2,"estimate"
2000,27.94,2,"estimate"
2001,61.37,2,"estimate"
2002,52.86,2,"estimate"
2003,57.33,2,"estimate"
2004,38.17,2,"estimate"
2005,48.95,2,"estimate"
2006,15.46,2,"estimate"
2007,39.49,2,"estimate"
2008,20.64,2,"estimate"
2009,40.86,2,"estimate"
2010,29.79,2,"estimate"
2011,57.83,2,"estimate"
2012,20.64,2,"estimate"
2013,63.25,2,"estimate"
2014,38.29,2,"estimate"
2015,41.25,2,"estimate"
2016,14.92,2,"estimate"
2017,37.69,2,"estimate"
2018,9.28,2,"estimate"
2019,15.32,2,"estimate"
2020,9.95,2,"estimate"
1998,33.54,1,"estimate"
1999,128.35,1,"estimate"
2000,28.82,1,"estimate"
2001,62.84,1,"estimate"
2002,52.96,1,"estimate"
2003,56.49,1,"estimate"
2004,40.56,1,"estimate"
2005,52.29,1,"estimate"
2006,17.81,1,"estimate"
2007,40.7,1,"estimate"
2008,21.78,1,"estimate"
2009,41.34,1,"estimate"
2010,31.6,1,"estimate"
2011,60.92,1,"estimate"
2012,22.17,1,"estimate"
2013,63.79,1,"estimate"
2014,38.76,1,"estimate"
2015,44.96,1,"estimate"
2016,17.64,1,"estimate"
2017,42.82,1,"estimate"
2018,10.57,1,"estimate"
2019,16.9,1,"estimate"
2020,11.68,1,"estimate"
2021,19.91,1,"estimate"
1998,33.71,0,"estimate"
1999,126.17,0,"estimate"
2000,29.17,0,"estimate"
2001,62.62,0,"estimate"
2002,53.11,0,"estimate"
2003,56.7,0,"estimate"
2004,40.59,0,"estimate"
2005,52.02,0,"estimate"
2006,17.94,0,"estimate"
2007,40.89,0,"estimate"
2008,22.1,0,"estimate"
2009,41.62,0,"estimate"
2010,31.8,0,"estimate"
2011,60.52,0,"estimate"
2012,22.43,0,"estimate"
2013,63.67,0,"estimate"
2014,39.07,0,"estimate"
2015,44.75,0,"estimate"
2016,17.72,0,"estimate"
2017,42.44,0,"estimate"
2018,10.79,0,"estimate"
2019,17.14,0,"estimate"
2020,11.84,0,"estimate"
2021,20.04,0,"estimate"
2022,16.48,0,"estimate"
